Timestamp,Profil A,Profil B,NO1,NO2,NO3,NO4,NO5
2023-01-01 00:00:00,0.22,0.966,1.959495917905995,1.99395513874497,2.169250871300931,2.587929085794305,1.943750456927013
2023-01-01 01:00:00,0.16,2.564,1.966995074804419,2.020958188551947,2.168491223623345,2.57193890059296,1.960444388543218
2023-01-01 02:00:00,0.15,0.332,1.948329454448426,2.003712559778505,2.114742893352766,2.516930486127559,1.939964821533152
2023-01-01 03:00:00,0.2,0.13,1.922025333812635,1.962581025820392,2.059432228629364,2.464782865239739,1.916912627693904
2023-01-01 04:00:00,0.71,0.141,1.91046390969363,1.935770836261649,2.030481718522274,2.428402130824656,1.902773320965187
2023-01-01 05:00:00,0.64,0.585,1.914174575762405,1.936008969635952,2.026290349154046,2.415163240628778,1.903474767802466
2023-01-01 06:00:00,0.75,0.136,1.934606447596142,1.948358563158463,2.044246727076864,2.422199645138101,1.919469610914365
2023-01-01 07:00:00,0.82,0.793,1.975707371487231,1.978302241428342,2.083422850262974,2.45159334654716,1.954422070852184
2023-01-01 08:00:00,1.38,0.935,2.033446580713542,2.033916926265278,2.150363728534313,2.501809213943496,2.010426268684876
2023-01-01 09:00:00,2.01,0.901,2.133528945252134,2.137945907603597,2.263093086623154,2.592901515434831,2.115305187939485
2023-01-01 10:00:00,1.56,1.467,2.252274706582122,2.260370814687452,2.391286838603384,2.705994839127887,2.241548324207895
2023-01-01 11:00:00,1.61,0.905,2.320904379310472,2.345873607892234,2.468921006273367,2.807555151107178,2.320452249653128
2023-01-01 12:00:00,1.41,0.445,2.339295389438809,2.380624246128902,2.481975945757557,2.867799399144841,2.332102650373206
2023-01-01 13:00:00,0.76,0.24,2.363968618091663,2.401270099143243,2.489472403523224,2.913941418699643,2.343787954421285
2023-01-01 14:00:00,1.79,1.133,2.40779229683105,2.426080262551443,2.547154806412775,2.967445118986773,2.415317922937539
2023-01-01 15:00:00,1.59,0.978,2.50468477265905,2.475346576403712,2.672462328116089,3.026153405053666,2.503539464737026
2023-01-01 16:00:00,1.91,0.313,2.623160000296475,2.550467277499747,2.774473607502693,3.030306868281413,2.605977587975646
2023-01-01 17:00:00,2.0,0.712,2.670285209218899,2.572238257589377,2.798101261010075,3.000211670551864,2.630660293926899
2023-01-01 18:00:00,1.3,2.27,2.672062393222575,2.56526129294818,2.799995184082124,2.971566378704962,2.618673516313768
2023-01-01 19:00:00,1.29,1.15,2.652262476976842,2.540210544552352,2.808918319498131,2.946677221107219,2.605442796668461
2023-01-01 20:00:00,0.58,1.234,2.619731356337344,2.49899941488162,2.795983017552753,2.917134273533396,2.572498300034982
2023-01-01 21:00:00,1.2,1.088,2.579207076864922,2.449180017063229,2.773286610480958,2.869958322425693,2.526645625095807
2023-01-01 22:00:00,0.53,1.212,2.516064790966398,2.388791387318948,2.707681642481465,2.804566665420079,2.465476756663273
2023-01-01 23:00:00,0.62,1.464,2.408885549424282,2.282502508817636,2.599219567834738,2.708881935701019,2.357318889854059
2023-01-02 00:00:00,0.79,2.23,2.290139955179509,2.146941730595115,2.458692583177248,2.570997573380315,2.206524225594585
2023-01-02 01:00:00,0.68,1.697,2.209165503229984,2.060082662997114,2.354202393112136,2.458621320092244,2.116413739431886
2023-01-02 02:00:00,0.81,1.726,2.172573250189686,2.014025580095509,2.307519471599218,2.395756116411262,2.07700795138766
2023-01-02 03:00:00,0.65,1.69,2.148118660350911,1.981135414998317,2.289720034773881,2.368838297377256,2.049340659772582
2023-01-02 04:00:00,0.8,1.703,2.139715976309434,1.966243491392131,2.28879951539606,2.360104959611741,2.032216405092347
2023-01-02 05:00:00,0.68,1.68,2.175472037220092,1.999755671845225,2.322308357136883,2.396113253332447,2.060718022490282
2023-01-02 06:00:00,0.76,1.527,2.291355889336558,2.112460572463318,2.444166123852804,2.511734617558089,2.164393112203788
2023-01-02 07:00:00,2.4,1.109,2.408265943560274,2.221181861862255,2.5594012404036,2.649744041485224,2.271079038286933
2023-01-02 08:00:00,2.15,1.019,2.411836018887973,2.221635544108178,2.568913493634504,2.661068959212844,2.282060836173114
2023-01-02 09:00:00,2.1,0.998,2.406169256181809,2.22922197417149,2.597265992310207,2.677710002326896,2.310820647666663
2023-01-02 10:00:00,1.02,1.012,2.408007285414256,2.24479311370493,2.62057691186646,2.708812119801882,2.336683685702045
2023-01-02 11:00:00,0.67,0.987,2.417486939709121,2.259374356493572,2.629312455487151,2.734379051291427,2.348445096906309
2023-01-02 12:00:00,0.64,1.47,2.415334852054396,2.262385557999745,2.61040479129335,2.753290895189974,2.335792092633863
2023-01-02 13:00:00,0.66,1.537,2.411808874605458,2.267084012930598,2.599727283556668,2.781389405976798,2.325602839388258
2023-01-02 14:00:00,0.65,1.308,2.427790649952706,2.291779297315495,2.632301843370532,2.842518199647642,2.358721371270453
2023-01-02 15:00:00,0.66,1.244,2.536737887211337,2.405753723757195,2.780338056869996,2.957969409633348,2.482674779204546
2023-01-02 16:00:00,1.81,1.351,2.717646192342718,2.556257905936112,2.936573150609937,3.058795005505579,2.659128216617339
2023-01-02 17:00:00,2.92,2.118,2.79424541210672,2.570676862532318,2.929321833283065,3.021879882325566,2.685576505084093
2023-01-02 18:00:00,2.26,1.363,2.786465471638857,2.546147623234545,2.886661986217175,2.991371788053053,2.679038876507835
2023-01-02 19:00:00,1.89,2.103,2.757608042119033,2.522457924894016,2.857069464122327,2.979299978393112,2.676013379398713
2023-01-02 20:00:00,1.19,1.478,2.732017190761309,2.503428929107246,2.852708028660572,2.983067263903201,2.688143274336631
