startTime,NO1,NO2,NO3,NO4,NO5
2023-01-01 00:00:00+01:00,1.9594959179059952,1.99395513874497,2.1692508713009313,2.587929085794305,1.9437504569270134
2023-01-01 01:00:00+01:00,1.9669950748044192,2.0209581885519468,2.1684912236233447,2.57193890059296,1.9604443885432183
2023-01-01 02:00:00+01:00,1.9483294544484262,2.003712559778505,2.1147428933527657,2.516930486127559,1.9399648215331524
2023-01-01 03:00:00+01:00,1.922025333812635,1.9625810258203915,2.0594322286293645,2.4647828652397394,1.916912627693904
2023-01-01 04:00:00+01:00,1.9104639096936298,1.935770836261649,2.0304817185222737,2.4284021308246557,1.9027733209651871
2023-01-01 05:00:00+01:00,1.9141745757624047,1.936008969635952,2.026290349154046,2.4151632406287784,1.9034747678024662
2023-01-01 06:00:00+01:00,1.9346064475961415,1.9483585631584626,2.0442467270768643,2.422199645138101,1.919469610914365
2023-01-01 07:00:00+01:00,1.975707371487231,1.9783022414283424,2.0834228502629744,2.45159334654716,1.9544220708521836
2023-01-01 08:00:00+01:00,2.033446580713542,2.033916926265278,2.1503637285343133,2.5018092139434964,2.0104262686848755
2023-01-01 09:00:00+01:00,2.133528945252134,2.1379459076035974,2.2630930866231544,2.5929015154348307,2.115305187939485
2023-01-01 10:00:00+01:00,2.252274706582122,2.260370814687452,2.3912868386033836,2.705994839127887,2.241548324207895
2023-01-01 11:00:00+01:00,2.3209043793104724,2.3458736078922335,2.4689210062733666,2.8075551511071777,2.3204522496531284
2023-01-01 12:00:00+01:00,2.339295389438809,2.380624246128902,2.4819759457575565,2.867799399144841,2.3321026503732063
2023-01-01 13:00:00+01:00,2.3639686180916626,2.4012700991432427,2.489472403523224,2.9139414186996433,2.343787954421285
2023-01-01 14:00:00+01:00,2.4077922968310497,2.426080262551443,2.5471548064127747,2.9674451189867734,2.415317922937539
2023-01-01 15:00:00+01:00,2.5046847726590498,2.475346576403712,2.672462328116089,3.0261534050536656,2.503539464737026
2023-01-01 16:00:00+01:00,2.6231600002964752,2.5504672774997466,2.774473607502693,3.0303068682814134,2.605977587975646
2023-01-01 17:00:00+01:00,2.670285209218899,2.5722382575893774,2.7981012610100753,3.000211670551864,2.6306602939268995
2023-01-01 18:00:00+01:00,2.6720623932225753,2.5652612929481795,2.7999951840821242,2.9715663787049618,2.6186735163137684
2023-01-01 19:00:00+01:00,2.652262476976842,2.5402105445523517,2.808918319498131,2.946677221107219,2.6054427966684615
2023-01-01 20:00:00+01:00,2.6197313563373443,2.4989994148816197,2.795983017552753,2.917134273533396,2.572498300034982
2023-01-01 21:00:00+01:00,2.5792070768649222,2.4491800170632287,2.773286610480958,2.8699583224256933,2.5266456250958074
2023-01-01 22:00:00+01:00,2.5160647909663982,2.3887913873189484,2.7076816424814654,2.804566665420079,2.465476756663273
2023-01-01 23:00:00+01:00,2.408885549424282,2.2825025088176356,2.599219567834738,2.7088819357010188,2.3573188898540587
2023-01-02 00:00:00+01:00,2.2901399551795087,2.1469417305951146,2.458692583177248,2.5709975733803145,2.206524225594585
2023-01-02 01:00:00+01:00,2.209165503229984,2.0600826629971136,2.3542023931121356,2.458621320092244,2.1164137394318865
2023-01-02 02:00:00+01:00,2.1725732501896857,2.0140255800955087,2.3075194715992184,2.395756116411262,2.0770079513876603
2023-01-02 03:00:00+01:00,2.1481186603509115,1.981135414998317,2.289720034773881,2.3688382973772564,2.049340659772582
2023-01-02 04:00:00+01:00,2.1397159763094336,1.9662434913921312,2.28879951539606,2.360104959611741,2.0322164050923472
2023-01-02 05:00:00+01:00,2.175472037220092,1.999755671845225,2.3223083571368828,2.3961132533324467,2.0607180224902817
2023-01-02 06:00:00+01:00,2.2913558893365584,2.112460572463318,2.444166123852804,2.5117346175580892,2.1643931122037885
2023-01-02 07:00:00+01:00,2.408265943560274,2.2211818618622545,2.5594012404036,2.6497440414852242,2.2710790382869335
2023-01-02 08:00:00+01:00,2.4118360188879735,2.2216355441081777,2.568913493634504,2.6610689592128445,2.2820608361731143
2023-01-02 09:00:00+01:00,2.4061692561818093,2.2292219741714905,2.597265992310207,2.677710002326896,2.310820647666663
2023-01-02 10:00:00+01:00,2.4080072854142562,2.24479311370493,2.6205769118664604,2.7088121198018817,2.336683685702045
2023-01-02 11:00:00+01:00,2.4174869397091205,2.259374356493572,2.629312455487151,2.7343790512914268,2.3484450969063086
2023-01-02 12:00:00+01:00,2.415334852054396,2.262385557999745,2.61040479129335,2.7532908951899744,2.335792092633863
2023-01-02 13:00:00+01:00,2.4118088746054585,2.2670840129305976,2.5997272835566685,2.781389405976798,2.325602839388258
2023-01-02 14:00:00+01:00,2.4277906499527058,2.2917792973154953,2.632301843370532,2.8425181996476416,2.358721371270453
2023-01-02 15:00:00+01:00,2.5367378872113373,2.405753723757195,2.7803380568699962,2.9579694096333475,2.4826747792045465
2023-01-02 16:00:00+01:00,2.7176461923427184,2.556257905936112,2.936573150609937,3.0587950055055786,2.659128216617339
2023-01-02 17:00:00+01:00,2.7942454121067204,2.570676862532318,2.929321833283065,3.0218798823255657,2.685576505084093
2023-01-02 18:00:00+01:00,2.786465471638857,2.5461476232345452,2.8866619862171747,2.991371788053053,2.6790388765078355
2023-01-02 19:00:00+01:00,2.757608042119033,2.5224579248940158,2.857069464122327,2.9792999783931124,2.676013379398713
2023-01-02 20:00:00+01:00,2.732017190761309,2.5034289291072462,2.8527080286605724,2.983067263903201,2.688143274336631
2023-01-02 21:00:00+01:00,2.7121594342130986,2.471396282289722,2.836216794365212,2.976874397500249,2.6823068850448664
